Chromosome,ChromStart,ChromEnd,Band,Stain
chr1,131689345,131689501,q11,gneg
chr1,131689501,131689501,p36.33,acen
chr1,131689501,131689657,q11,gneg
chr1,131689657,131689657,p36.33,acen
chr1,131689657,131689813,q11,gneg
chr1,131689813,131689813,p36.33,acen
chr1,131689813,131689966,q11,gneg
chr1,131689966,131689966,p36.33,acen
chr1,131689966,131690252,q11,gneg
chr1,131690252,131690252,p36.33,acen
chr1,131690252,131690392,q11,gneg
chr1,131690392,131690392,p36.33,acen
chr1,131690392,131690548,q11,gneg
chr1,131690548,131690548,p36.33,acen
chr1,131690548,131690703,q11,gneg
chr1,131690703,131690703,p36.33,acen
chr1,131690703,131690859,q11,gneg
chr1,131690859,131690859,p36.33,acen
chr1,131690859,131691012,q11,gneg
chr1,131691012,131691012,p36.33,acen
chr1,131691012,131691167,q11,gneg
chr1,131691167,131691167,p36.33,acen
chr1,131691167,131691570,q11,gneg
chr1,131691570,131691570,p36.33,acen
chr1,131691570,131691726,q11,gneg
chr1,131691726,131691726,p36.33,acen
chr1,131691726,131691877,q11,gneg
chr1,131691877,131691877,p36.33,acen
chr1,131691877,131692031,q11,gneg
chr1,131692031,131692031,p36.33,acen
chr1,131692031,131692186,q11,gneg
chr1,131692186,131692186,p36.33,acen
chr1,131692186,131692326,q11,gneg
chr1,131692326,131692326,p36.33,acen
chr1,131692326,131692481,q11,gneg
chr1,131692481,131692481,p36.33,acen
chr1,131692481,131692637,q11,gneg
chr1,131692637,131692637,p36.33,acen
chr1,131692637,131692793,q11,gneg
chr1,131692793,131692793,p36.33,acen
chr1,131692793,131692946,q11,gneg
chr1,131692946,131692946,p36.33,acen
chr1,131692946,131693100,q11,gneg
chr1,131693100,131693100,p36.33,acen
chr1,131693100,131693255,q11,gneg
chr1,131693255,131693255,p36.33,acen
chr1,131693255,131693409,q11,gneg
chr1,131693409,131693409,p36.33,acen
chr1,131693409,131693565,q11,gneg
chr1,131693565,131693565,p36.33,acen
chr1,131693565,131693722,q11,gneg
chr1,131693722,131693722,p36.33,acen
chr1,131693722,131693871,q11,gneg
chr1,131693871,131693871,p36.33,acen
chr1,131693871,131694022,q11,gneg
chr1,131694022,131694022,p36.33,acen
chr1,131694022,131694176,q11,gneg
chr1,131694176,131694176,p36.33,acen
chr1,131694176,131694331,q11,gneg
chr1,131694331,131694331,p36.33,acen
chr1,131694331,131694471,q11,gneg
chr1,131694471,131694471,p36.33,acen
chr1,131694471,131694625,q11,gneg
chr1,131694625,131694625,p36.33,acen
chr1,131694625,131694780,q11,gneg
chr1,131694780,131694780,p36.33,acen
chr1,131694780,131694936,q11,gneg
chr1,131694936,131694936,p36.33,acen
chr1,131694936,131695092,q11,gneg
chr1,131695092,131695092,p36.33,acen
chr1,131695092,131695245,q11,gneg
chr1,131695245,131695245,p36.33,acen
chr1,131695245,131695394,q11,gneg
chr1,131695394,131695394,p36.33,acen
chr1,131695394,131695548,q11,gneg
chr1,131695548,131695548,p36.33,acen
chr1,131695548,131695702,q11,gneg
chr1,131695702,131695702,p36.33,acen
chr1,131695702,131695843,q11,gneg
chr1,131695843,131695843,p36.33,acen
chr1,131695843,131695999,q11,gneg
chr1,131695999,131695999,p36.33,acen
chr1,131695999,131696155,q11,gneg
chr1,131696155,131696155,p36.33,acen
chr1,131696155,131696311,q11,gneg
chr1,131696311,131696311,p36.33,acen
chr1,131696311,131696463,q11,gneg
chr1,131696463,131696463,p36.33,acen
chr1,131696463,131696618,q11,gneg
chr1,131696618,131696618,p36.33,acen
chr1,131696618,131696772,q11,gneg
chr1,131696772,131696772,p36.33,acen
chr1,131696772,131696925,q11,gneg
chr1,131696925,131696925,p36.33,acen
chr1,131696925,131697080,q11,gneg
chr1,131697080,131697080,p36.33,acen
chr1,131697080,131697236,q11,gneg
chr1,131697236,131697236,p36.33,acen
chr1,131697236,131697392,q11,gneg
chr1,131697392,131697392,p36.33,acen
chr1,131697392,131697795,q11,gneg
chr1,131697795,131697795,p36.33,acen
chr1,131697795,131697936,q11,gneg
chr1,131697936,131697936,p36.33,acen
chr1,131697936,131698092,q11,gneg
chr1,131698092,131698092,p36.33,acen
chr1,131698092,131698248,q11,gneg
chr1,131698248,131698248,p36.33,acen
chr1,131698248,131698404,q11,gneg
chr1,131698404,131698404,p36.33,acen
chr1,131698404,131698556,q11,gneg
chr1,131698556,131698556,p36.33,acen
chr1,131698556,131698711,q11,gneg
chr1,131698711,131698711,p36.33,acen
chr1,131698711,131698865,q11,gneg
chr1,131698865,131698865,p36.33,acen
chr1,131698865,131699018,q11,gneg
chr1,131699018,131699018,p36.33,acen
chr1,131699018,131699177,q11,gneg
chr1,131699177,131699177,p36.33,acen
chr1,131699177,131699333,q11,gneg
chr1,131699333,131699333,p36.33,acen
chr1,131699333,131699489,q11,gneg
chr1,131699489,131699489,p36.33,acen
chr1,131699489,131699642,q11,gneg
chr1,131699642,131699642,p36.33,acen
chr1,131699642,131699791,q11,gneg
chr1,131699791,131699791,p36.33,acen
chr1,131699791,131699945,q11,gneg
chr1,131699945,131699945,p36.33,acen
chr1,131699945,131700100,q11,gneg
chr1,131700100,131700100,p36.33,acen
chr1,131700100,131700241,q11,gneg
chr1,131700241,131700241,p36.33,acen
chr1,131700241,131700397,q11,gneg
chr1,131700397,131700397,p36.33,acen
chr1,131700397,131700817,q11,gneg
chr1,131700817,131700817,p36.33,acen
chr1,131700817,131700973,q11,gneg
chr1,131700973,131700973,p36.33,acen
chr1,131700973,131701127,q11,gneg
chr1,131701127,131701127,p36.33,acen
chr1,131701127,131701286,q11,gneg
chr1,131701286,131701286,p36.33,acen
chr1,131701286,131701425,q11,gneg
chr1,131701425,131701425,p36.33,acen
chr1,131701425,131701581,q11,gneg
chr1,131701581,131701581,p36.33,acen
chr1,131701581,131701736,q11,gneg
chr1,131701736,131701736,p36.33,acen
chr1,131701736,131701890,q11,gneg
chr1,131701890,131701890,p36.33,acen
chr1,131701890,131702044,q11,gneg
chr1,131702044,131702044,p36.33,acen
chr1,131702044,131702199,q11,gneg
chr1,131702199,131702199,p36.33,acen
chr1,131702199,131702355,q11,gneg
chr1,131702355,131702355,p36.33,acen
chr1,131702355,131702510,q11,gneg
chr1,131702510,131702510,p36.33,acen
chr1,131702510,131702661,q11,gneg
chr1,131702661,131702661,p36.33,acen
chr1,131702661,131702812,q11,gneg
chr1,131702812,131702812,p36.33,acen
chr1,131702812,131702965,q11,gneg
chr1,131702965,131702965,p36.33,acen
chr1,131702965,131703121,q11,gneg
chr1,131703121,131703121,p36.33,acen
chr1,131703121,131703260,q11,gneg
chr1,131703260,131703260,p36.33,acen
chr1,131703260,131703416,q11,gneg
chr1,131703416,131703416,p36.33,acen
chr1,131703416,131703572,q11,gneg
chr1,131703572,131703572,p36.33,acen
chr1,131703572,131703713,q11,gneg
chr1,131703713,131703713,p36.33,acen
chr1,131703713,131703869,q11,gneg
chr1,131703869,131703869,p36.33,acen
chr1,131703869,131704025,q11,gneg
chr1,131704025,131704025,p36.33,acen
chr1,131704025,131704181,q11,gneg
chr1,131704181,131704181,p36.33,acen
chr1,131704181,131704333,q11,gneg
chr1,131704333,131704333,p36.33,acen
chr1,131704333,131704488,q11,gneg
chr1,131704488,131704488,p36.33,acen
chr1,131704488,131704770,q11,gneg
chr1,131704770,131704770,p36.33,acen
chr1,131704770,131704925,q11,gneg
chr1,131704925,131704925,p36.33,acen
chr1,131704925,131705081,q11,gneg
chr1,131705081,131705081,p36.33,acen
chr1,131705081,131705237,q11,gneg
chr1,131705237,131705237,p36.33,acen
chr1,131705237,131705390,q11,gneg
chr1,131705390,131705390,p36.33,acen
chr1,131705390,131705539,q11,gneg
chr1,131705539,131705539,p36.33,acen
chr1,131705539,131705693,q11,gneg
chr1,131705693,131705693,p36.33,acen
chr1,131705693,131705848,q11,gneg
chr1,131705848,131705848,p36.33,acen
chr1,131705848,131706005,q11,gneg
chr1,131706005,131706005,p36.33,acen
chr1,131706005,131706161,q11,gneg
chr1,131706161,131706161,p36.33,acen
chr1,131706161,131706764,q11,gneg
chr1,131706764,131706764,p36.33,acen
chr1,131706764,131706905,q11,gneg
chr1,131706905,131706905,p36.33,acen
chr1,131706905,131707061,q11,gneg
chr1,131707061,131707061,p36.33,acen
chr1,131707061,131707213,q11,gneg
chr1,131707213,131707213,p36.33,acen
chr1,131707213,131707369,q11,gneg
chr1,131707369,131707369,p36.33,acen
chr1,131707369,131707523,q11,gneg
chr1,131707523,131707523,p36.33,acen
chr1,131707523,131707678,q11,gneg
chr1,131707678,131707678,p36.33,acen
chr1,131707678,131707834,q11,gneg
chr1,131707834,131707834,p36.33,acen
chr1,131707834,131707989,q11,gneg
chr1,131707989,131707989,p36.33,acen
chr1,131707989,131708141,q11,gneg
chr1,131708141,131708141,p36.33,acen
chr1,131708141,131708296,q11,gneg
chr1,131708296,131708296,p36.33,acen
chr1,131708296,131708450,q11,gneg
chr1,131708450,131708450,p36.33,acen
chr1,131708450,131708606,q11,gneg
chr1,131708606,131708606,p36.33,acen
chr1,131708606,131708760,q11,gneg
chr1,131708760,131708760,p36.33,acen
chr1,131708760,131708916,q11,gneg
chr1,131708916,131708916,p36.33,acen
chr1,131708916,131709071,q11,gneg
chr1,131709071,131709071,p36.33,acen
chr1,131709071,131709223,q11,gneg
chr1,131709223,131709223,p36.33,acen
chr1,131709223,131709379,q11,gneg
chr1,131709379,131709379,p36.33,acen
chr1,131709379,131709534,q11,gneg
chr1,131709534,131709534,p36.33,acen
chr1,131709534,131709696,q11,gneg
chr1,131709696,131709696,p36.33,acen
chr1,131709696,131709851,q11,gneg
chr1,131709851,131709851,p36.33,acen
chr1,131709851,131710007,q11,gneg
chr1,131710007,131710007,p36.33,acen
chr1,131710007,131710154,q11,gneg
chr1,131710154,131710154,p36.33,acen
chr1,131710154,131710305,q11,gneg
chr1,131710305,131710305,p36.33,acen
chr1,131710305,131718828,q11,gneg
chr1,131718828,131718828,p36.33,acen
chr1,131718828,131718984,q11,gneg
chr1,131718984,131718984,p36.33,acen
chr1,131718984,131719139,q11,gneg
chr1,131719139,131719139,p36.33,acen
chr1,131719139,131719295,q11,gneg
chr1,131719295,131719295,p36.33,acen
chr1,131719295,131719456,q11,gneg
chr1,131719456,131719456,p36.33,acen
chr1,131719456,131719603,q11,gneg
chr1,131719603,131719603,p36.33,acen
chr1,131719603,131719758,q11,gneg
chr1,131719758,131719758,p36.33,acen
chr1,131719758,131719912,q11,gneg
chr1,131719912,131719912,p36.33,acen
chr1,131719912,131720068,q11,gneg
chr1,131720068,131720068,p36.33,acen
chr1,131720068,131720224,q11,gneg
chr1,131720224,131720224,p36.33,acen
chr1,131720224,131720524,q11,gneg
chr1,131720524,131720524,p36.33,acen
chr1,131720524,131720679,q11,gneg
chr1,131720679,131720679,p36.33,acen
chr1,131720679,131720835,q11,gneg
chr1,131720835,131720835,p36.33,acen
chr1,131720835,131720989,q11,gneg
chr1,131720989,131720989,p36.33,acen
chr1,131720989,131721143,q11,gneg
chr1,131721143,131721143,p36.33,acen
chr1,131721143,131806164,q11,gneg
chr1,131806164,131806164,p36.33,acen
chr1,131806164,131806308,q11,gneg
chr1,131806308,131806308,p36.33,acen
chr1,131806308,131806497,q11,gneg
chr1,131806497,131806497,p36.33,acen
chr1,131806497,131806638,q11,gneg
chr1,131806638,131806638,p36.33,acen
chr1,131806638,131811323,q11,gneg
chr1,131811323,131811323,p36.33,acen
chr1,131811323,131811479,q11,gneg
chr1,131811479,131811479,p36.33,acen
chr1,131811479,131811634,q11,gneg
chr1,131811634,131811634,p36.33,acen
chr1,131811634,131811789,q11,gneg
chr1,131811789,131811789,p36.33,acen
chr1,131811789,131811938,q11,gneg
chr1,131811938,131811938,p36.33,acen
chr1,131811938,131812087,q11,gneg
chr1,131812087,131812087,p36.33,acen
chr1,131812087,131812244,q11,gneg
chr1,131812244,131812244,p36.33,acen
chr1,131812244,131812546,q11,gneg
chr1,131812546,131812546,p36.33,acen
chr1,131812546,131821139,q11,gneg
chr1,131821139,131821139,p36.33,acen
chr1,131821139,131821294,q11,gneg
chr1,131821294,131821294,p36.33,acen
chr1,131821294,131821434,q11,gneg
chr1,131821434,131821434,p36.33,acen
chr1,131821434,131821596,q11,gneg
chr1,131821596,131821596,p36.33,acen
chr1,131821596,131821743,q11,gneg
chr1,131821743,131821743,p36.33,acen
chr1,131821743,131821894,q11,gneg
chr1,131821894,131821894,p36.33,acen
chr1,131821894,131822058,q11,gneg
chr1,131822058,131822058,p36.33,acen
chr1,131822058,131822200,q11,gneg
chr1,131822200,131822200,p36.33,acen
chr1,131822200,131822356,q11,gneg
chr1,131822356,131822356,p36.33,acen
chr1,131822356,131822512,q11,gneg
chr1,131822512,131822512,p36.33,acen
chr1,131822512,131822654,q11,gneg
chr1,131822654,131822654,p36.33,acen
chr1,131822654,131822816,q11,gneg
chr1,131822816,131822816,p36.33,acen
chr1,131822816,131822964,q11,gneg
chr1,131822964,131822964,p36.33,acen
chr1,131822964,131823116,q11,gneg
chr1,131823116,131823116,p36.33,acen
chr1,131823116,131823280,q11,gneg
chr1,131823280,131823280,p36.33,acen
chr1,131823280,131823422,q11,gneg
chr1,131823422,131823422,p36.33,acen
chr1,131823422,131823578,q11,gneg
chr1,131823578,131823578,p36.33,acen
chr1,131823578,131823862,q11,gneg
chr1,131823862,131823862,p36.33,acen
chr1,131823862,131824015,q11,gneg
chr1,131824015,131824015,p36.33,acen
chr1,131824015,131824170,q11,gneg
chr1,131824170,131824170,p36.33,acen
chr1,131824170,131824322,q11,gneg
chr1,131824322,131824322,p36.33,acen
chr1,131824322,131824478,q11,gneg
chr1,131824478,131824478,p36.33,acen
chr1,131824478,131824634,q11,gneg
chr1,131824634,131824634,p36.33,acen
chr1,131824634,131824790,q11,gneg
chr1,131824790,131824790,p36.33,acen
chr1,131824790,131824931,q11,gneg
chr1,131824931,131824931,p36.33,acen
chr1,131824931,131825092,q11,gneg
chr1,131825092,131825092,p36.33,acen
chr1,131825092,131825241,q11,gneg
chr1,131825241,131825241,p36.33,acen
chr1,131825241,131825391,q11,gneg
chr1,131825391,131825391,p36.33,acen
chr1,131825391,131825555,q11,gneg
chr1,131825555,131825555,p36.33,acen
chr1,131825555,131825697,q11,gneg
chr1,131825697,131825697,p36.33,acen
chr1,131825697,131825853,q11,gneg
chr1,131825853,131825853,p36.33,acen
chr1,131825853,131826009,q11,gneg
chr1,131826009,131826009,p36.33,acen
chr1,131826009,131826165,q11,gneg
chr1,131826165,131826165,p36.33,acen
chr1,131826165,131826305,q11,gneg
chr1,131826305,131826305,p36.33,acen
chr1,131826305,131826467,q11,gneg
chr1,131826467,131826467,p36.33,acen
chr1,131826467,131826615,q11,gneg
chr1,131826615,131826615,p36.33,acen
chr1,131826615,131826767,q11,gneg
chr1,131826767,131826767,p36.33,acen
chr1,131826767,131826916,q11,gneg
chr1,131826916,131826916,p36.33,acen
chr1,131826916,131827071,q11,gneg
chr1,131827071,131827071,p36.33,acen
chr1,131827071,131827227,q11,gneg
chr1,131827227,131827227,p36.33,acen
chr1,131827227,131827382,q11,gneg
chr1,131827382,131827382,p36.33,acen
chr1,131827382,131827537,q11,gneg
chr1,131827537,131827537,p36.33,acen
chr1,131827537,131827688,q11,gneg
chr1,131827688,131827688,p36.33,acen
chr1,131827688,131827852,q11,gneg
chr1,131827852,131827852,p36.33,acen
chr1,131827852,131827994,q11,gneg
chr1,131827994,131827994,p36.33,acen
chr1,131827994,131828150,q11,gneg
chr1,131828150,131828150,p36.33,acen
chr1,131828150,131828304,q11,gneg
chr1,131828304,131828304,p36.33,acen
chr1,131828304,131828457,q11,gneg
chr1,131828457,131828457,p36.33,acen
chr1,131828457,131828597,q11,gneg
chr1,131828597,131828597,p36.33,acen
chr1,131828597,131828759,q11,gneg
chr1,131828759,131828759,p36.33,acen
chr1,131828759,131828907,q11,gneg
chr1,131828907,131828907,p36.33,acen
chr1,131828907,131829070,q11,gneg
chr1,131829070,131829070,p36.33,acen
chr1,131829070,131829213,q11,gneg
chr1,131829213,131829213,p36.33,acen
chr1,131829213,131829369,q11,gneg
chr1,131829369,131829369,p36.33,acen
chr1,131829369,131829524,q11,gneg
chr1,131829524,131829524,p36.33,acen
chr1,131829524,131829678,q11,gneg
chr1,131829678,131829678,p36.33,acen
chr1,131829678,131829832,q11,gneg
chr1,131829832,131829832,p36.33,acen
chr1,131829832,131829985,q11,gneg
chr1,131829985,131829985,p36.33,acen
chr1,131829985,131840169,q11,gneg
chr1,131840169,131840169,p36.33,acen
chr1,131840169,131840327,q11,gneg
chr1,131840327,131840327,p36.33,acen
chr1,131840327,131840485,q11,gneg
chr1,131840485,131840485,p36.33,acen
chr1,131840485,131840915,q11,gneg
